County,Name,ID,Electrification Rate annual increase %,2019,2030,2040,2050,2060,2070
Baringo,Baringo,BA,1.91,28.7,35.83,43.89,53.76,65.86,80.68
Bomet,Bomet,BO,1.82,22.1,27.56,33.77,41.36,50.67,62.07
Bungoma,Bungoma,BU,1.73,21.8,48.32,59.19,72.51,88.82,100
Busia,Busia,BS,2.02,26.2,32.74,40.11,49.13,60.19,73.73
Elgeyo Marakwet,Elgeyo-Marakwet,EA,1.75,24.7,30.79,37.71,46.2,56.59,69.32
Embu,Embu,EM,3.24,47.3,59.82,73.28,89.76,100,100
Garissa,Garissa,GA,1.24,24,29.76,36.46,44.66,54.71,67.02
Homa Bay,HomaBay,HB,1.51,18.5,23,28.18,34.52,42.29,51.8
Isiolo,Isiolo,IS,2.21,40.6,50.83,62.27,76.28,93.44,100
Kajiado,Kajiado,KA,2.81,67.9,85.01,100,100,100,100
Kakamega,Kakamega,KK,1.96,25.2,31.47,38.56,47.23,57.86,70.87
Kericho,Kericho,KC,3.43,45,57.14,70,85.75,100,100
Kiambu,Kiambu,KM,3.78,91.9,100,100,100,100,100
Kilifi,Kilifi,KL,2.19,38.6,48.32,59.19,72.51,88.82,100
Kirinyaga,Kirinyaga,KR,4.96,66,84.86,100,100,100,100
Kisii,Kisii,KI,3.14,39.5,49.91,61.13,74.89,91.74,100
Kisumu,Kisumu,KS,3.45,52.8,66.91,81.96,100,100,100
Kitui,Kitui,KT,1.24,17.2,21.33,26.67,32.01,39.21,48.03
Kwale,Kwale,KW,2.05,31.1,38.88,47.63,58.34,71.47,87.54
Laikipia,Laikipia,LI,2.5,42.7,53.61,65.68,80.45,98.55,100
Lamu,Lamu,LA,2.66,43.6,54.83,67.17,82.28,100,100
Machakos,Machakos,MC,3.12,48.2,60.89,74.58,91.37,100,100
Makueni,Makueni,MK,1.45,20.4,25.35,31.06,38.04,46.6,57.09
Mandera,Mandera,MA,1.33,15.8,19.61,24.02,29.43,36.05,44.16
Marsabit,Marsabit,MB,1.37,21.2,26.33,32.25,39.5,48.39,59.28
Meru,Meru,MU,2.7,40.6,51.08,62.57,76.65,93.89,100
Migori,Migori,MI,1.82,24,29.93,36.67,44.92,55.03,67.41
Mombasa,Mombasa,MO,2.73,86.3,100,100,100,100,100
Murang’a,Murang'a,MR,4.66,60.5,77.57,95.02,100,100,100
Nairobi,Nairobi,NI,1.94,98.3,100,100,100,100,100
Nakuru,Nakuru,NA,3.03,64.3,81.15,99.41,100,100,100
Nandi,Nandi,NN,2.43,30.7,38.52,47.19,57.8,70.81,86.74
Narok,Narok,NK,1.4,19.9,24.72,30.28,37.09,45.44,55.66
Nyamira,Nyamira,NM,3.74,43.2,54.9,67.25,82.38,100,100
Nyandarua,Nyandarua,NY,3.01,41.6,52.49,64.3,78.77,96.49,100
Nyeri,Nyeri,NE,4.569,72,92.23,100,100,100,100
Samburu,Samburu,SA,0.84,14.6,18.03,22.09,27.06,33.15,40.61
Siaya,Siaya,SI,1.53,19.6,24.38,29.86,36.58,44.81,54.89
Taita Taveta,TaitaTaveta,TT,3.3,48,60.74,74.4,91.14,100,100
Tana River,TanaRiver,TR,2.36,26.1,32.73,40.089,49.11,60.158,73.69
Tharaka Nithi,Tharaka-Nithi,TN,2.69,35.3,44.41,54.4,66.63,81.63,99.99
Trans Nzoia,TransNzoia,TZ,2.92,38.1,48.03,58.84,72.08,88.3,100
Turkana,Turkana,TU,0.64,8.8,10.85,13.29,16.28,19.94,24.43
Uasin-Gishu,UasinGishu,UG,3.6,63.9,81.09,99.34,100,100,100
Vihiga,Vihiga,VI,3.16,38.6,48.78,59.75,73.2,89.66,100
Wajir,Wajir,WA,1.12,14.6,18.09,22.15,27.14,33.24,40.72
West Pokot,WestPokot,WP,0.93,11.9,14.71,18.02,22.08,27.05,33.13
