#,Group,County,ID,Q1,Q2,Q3,Q4,# HH w/o access
1,1,Baringo,BA,15990,31926,70467,23600,141983
2,1,Bomet,BO,4446,40166,118883,18238,181734
3,1,Busia,BS,19805,31293,109276,31843,192218
4,1,Elgeyo Marakwet,EA,3549,30372,46653,16852,97426
5,1,Embu,EM,8083,50541,48540,50668,157832
6,1,Garissa,GA,22153,28633,53376,36513,140675
7,1,Isiolo,IS,15012,8118,11256,10038,44423
8,1,Kericho,KC,9524,80632,55279,39152,184587
9,1,Kirinyaga,KR,4792,40267,31198,65320,141577
10,1,Kwale,KW,23388,21036,92458,24114,160996
11,1,Laikipia,LI,13586,36208,40415,20834,111044
12,1,Lamu,LA,6156,5896,12418,7259,31728
13,1,Mandera,MA,38628,22952,65825,2953,130358
14,1,Marsabit,MB,16609,1275,52672,8285,78842
15,1,Mombasa,MO,111879,97879,0,0,209758
16,1,Nandi,NN,8007,36010,98196,27038,169252
17,1,Narok,NK,20790,80520,91760,22982,216052
18,1,Nyamira,NM,6374,50525,63334,24515,144748
19,1,Nyandarua,NY,6788,40865,57304,50437,155394
20,1,Nyeri,NE,2320,50135,30215,81330,164000
21,1,Samburu,SA,10056,10843,34224,7927,63050
22,1,Taita Taveta,TT,14574,18002,33472,17741,83789
23,1,Tana River,TR,17014,20637,25227,5872,68750
24,1,Tharaka Nithi,TN,4893,30320,41445,21682,98339
25,1,Trans Nzoia,TZ,27756,52116,76710,43318,199900
26,1,Turkana,TU,26723,21793,103976,13989,166481
27,1,Uasin Gishu,UG,35656,12718,65030,75562,188965
28,1,Vihiga,VI,7563,50225,105030,21309,139127
29,1,Wajir,WA,26023,21943,68904,15303,132173
30,1,West Pokot,WP,6739,10340,85877,12063,115019
31,2,Bungoma,BU,30287,9191,245465,51273,336216
32,2,Homa Bay,HB,17947,20622,180480,33572,252621
33,2,Kakamega,KK,43337,61263,229379,64018,397998
34,2,Kilifi,KL,76416,24036,132230,34899,267580
35,2,Kisii,KI,10772,20296,184868,48581,264518
36,2,Kisumu,KS,61701,49625,79032,62886,253244
37,2,Kitui,KT,10862,50262,158400,22783,242306
38,2,Machakos,MC,32100,73265,82657,91660,279683
39,2,Makueni,MK,10267,51759,117208,44560,223795
40,2,Meru,MU,21354,72811,204915,89690,388769
41,2,Migori,MI,25251,51707,120846,30694,228499
42,2,Murang’a,MR,31980,20789,116056,105831,274657
43,2,Nakuru,NA,111043,81533,105900,125397,413874
44,2,Siaya,SI,15110,50735,147614,30186,243645
45,3,Kajiado,KA,26376,21379,34692,43134,125581
46,4,Kiambu,KM,85783,57060,48100,98400,289343
47,4,Nairobi,NI,128879,169163,0,0,298041
