ISO_CODE,NAME,ID
KE-01,Baringo,BA
KE-02,Bomet,BO
KE-03,Bungoma,BU
KE-04,Busia,BS
KE-05,Elgeyo-Marakwet,EA
KE-06,Embu,EM
KE-07,Garissa,GA
KE-08,HomaBay,HB
KE-09,Isiolo,IS
KE-10,Kajiado,KA
KE-11,Kakamega,KK
KE-12,Kericho,KC
KE-13,Kiambu,KM
KE-14,Kilifi,KL
KE-15,Kirinyaga,KR
KE-16,Kisii,KI
KE-17,Kisumu,KS
KE-18,Kitui,KT
KE-19,Kwale,KW
KE-20,Laikipia,LI
KE-21,Lamu,LA
KE-22,Machakos,MC
KE-23,Makueni,MK
KE-24,Mandera,MA
KE-25,Marsabit,MB
KE-26,Meru,MU
KE-27,Migori,MI
KE-28,Mombasa,MO
KE-29,Murang'a,MR
KE-30,Nairobi,NI
KE-31,Nakuru,NA
KE-32,Nandi,NN
KE-33,Narok,NK
KE-34,Nyamira,NM
KE-35,Nyandarua,NY
KE-36,Nyeri,NE
KE-37,Samburu,SA
KE-38,Siaya,SI
KE-39,TaitaTaveta,TT
KE-40,TanaRiver,TR
KE-41,Tharaka-Nithi,TN
KE-42,TransNzoia,TZ
KE-43,Turkana,TU
KE-44,UasinGishu,UG
KE-45,Vihiga,VI
KE-46,Wajir,WA
KE-47,WestPokot,WP
